,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,xrm
20090102,4.43,2.77,2.62,2.54,3.53,3.33,4.65,4.51,4.89,3.94,3.11
20090105,2.71,0.6,0.72,0.57,0.99,0.41,1.01,1.23,1.17,0.36,-0.28
20090106,4.74,3.17,3.32,2.98,3.11,2.05,2.89,2.22,1.98,1.66,0.87
20090107,-0.61,-3.6,-3.78,-3.39,-3.74,-2.87,-3.53,-3.82,-3.81,-3.29,-2.96
20090108,1.2,2.47,1.32,0.94,1.07,0.92,1.25,1.6,0.96,0.81,0.47
20090109,-1.04,-4.84,-4.14,-3.74,-3.7,-3.25,-2.31,-2.61,-2.52,-2.13,-2.21
20090112,-2.05,-3.51,-2.92,-2.8,-3.42,-3,-3.63,-3.54,-3.19,-3.1,-2.28
20090113,0.31,0.51,0.86,0.79,0.67,0.5,0.49,0.55,0.37,0.3,0.28
20090114,-2.67,-5.26,-4.68,-4.34,-4.73,-3.93,-4.06,-4.11,-4.27,-3.85,-3.38
20090115,-0.11,2.01,2.19,1.04,1.5,1.25,1.21,1.17,1.34,0.2,0.39
20090116,0.36,0.16,0.55,0.54,1.22,1.16,1.14,1.4,1.15,0.61,0.74
20090120,-3.7,-8.03,-7.34,-6.9,-7.36,-6.17,-6.94,-6.36,-6.15,-6.27,-5.34
20090121,2.38,6.23,5.48,5.18,5.1,4.92,5.21,4.69,5.06,5.49,4.21
20090122,-1.73,-4.14,-3.72,-3.28,-3.13,-2.85,-2.32,-2.5,-2.31,-1.9,-1.62
20090123,-0.52,-0.25,0.34,0.92,1.23,0.84,1.14,1.38,1.08,1.27,0.44
20090126,0.88,2.08,1.67,0.6,0.93,0.76,0.57,0.57,0.57,0.23,0.54
20090127,0.55,1.2,1.61,1.19,1.47,1.3,1.52,1.28,1.08,1.52,1.08
20090128,2.14,3.97,4.14,4.33,4.53,3.37,4.18,3.93,4.38,4.6,3.32
20090129,-1.82,-5,-4.48,-4.47,-4.89,-3.34,-4.28,-3.81,-4.16,-3.62,-3.23
20090130,-0.23,-1.71,-2.25,-2.45,-2.46,-2.48,-2.75,-3.23,-3.24,-2.24,-2.16
20090202,0.09,2.75,1.47,0.8,-0.21,-0.07,-0.55,-0.49,-0.6,-0.29,0.06
20090203,0.41,1.52,0.44,0.19,1.26,1.1,1,1.29,1.64,1.66,1.46
20090204,-0.51,-1.82,-0.92,-0.89,-0.18,-0.31,0.41,-0.04,-0.57,-0.05,-0.6
20090205,0.79,1.91,1.81,1.73,1.78,2.09,2.05,2.6,2.25,2.15,1.61
20090206,1.82,3.72,3.87,4.02,4.51,3.58,3.63,4.08,3.74,2.77,2.79
20090209,0.13,-0.76,-0.88,-0.39,-0.23,-0.24,0.07,0.42,0.13,0.4,0.03
20090210,-2.25,-5.27,-4.97,-5.02,-5.15,-4.59,-4.56,-5.31,-5.4,-5.22,-4.62
20090211,0.18,0.56,0.66,0.42,1.25,0.08,0.54,0.43,0.88,0.89,0.75
20090212,-0.3,0.23,0.24,0.26,0.46,0.56,0.52,0.67,-0.06,0.13,0.3
20090213,0.12,0.56,0.08,-0.53,-0.71,-0.23,-0.75,-0.8,-0.35,-0.78,-0.85
20090217,-2.98,-5.63,-5.21,-4.66,-5.31,-4.27,-5.44,-5.44,-5.69,-5.54,-4.36
20090218,-1.04,-1.39,-1.5,-1.45,-2.01,-1.32,-1.54,-1.29,-0.65,-0.19,-0.33
20090219,-1.6,-1.65,-1.55,-1.63,-2.09,-2.37,-1.68,-1.8,-1.29,-1.5,-1.15
20090220,-2.72,-2.31,-2.28,-1.7,-1.44,-1.84,-1.88,-0.97,-1.03,-1.41,-1.16
20090223,-1.84,-4.36,-4.07,-4.11,-4.37,-4.06,-4.52,-4.29,-4.01,-3.96,-3.43
20090224,2.5,5.87,4.73,5.25,5.21,5.03,4.76,5.22,5.25,4.92,4
20090225,-1.75,-3.94,-3.32,-2.54,-1.85,-1.69,-1.45,-0.85,-1.5,-1.42,-1.15
20090226,-0.23,-1.68,-1.53,-1.76,-1.69,-1.08,-1.37,-1.68,-1.09,-1.07,-1.53
20090227,-0.69,-1.23,-0.9,-1.53,-0.9,-1.41,-1.38,-1.39,-2.49,-2.72,-2.01
20090302,-5,-6.3,-5.84,-6.2,-7.04,-6.58,-6.66,-6.71,-6.69,-5.69,-4.75
20090303,-1.65,-2.48,-2.49,-1.93,-1.46,-1.46,-1.04,-1.15,-0.64,-0.1,-0.71
20090304,2.12,4.2,3.29,2.93,3.44,3.36,3.81,3.85,3.48,3.19,2.42
20090305,-4.21,-8.23,-7.03,-6.17,-6.17,-5.41,-5.49,-5.78,-5.47,-4.93,-4.21
20090306,-0.14,1.47,0.31,0.25,-0.85,-0.32,-1.15,-1.08,-0.53,-0.08,0.2
20090309,-1.46,-3.14,-3.04,-1.58,-1.63,-1.57,-1.17,-1.08,-0.53,-0.77,-1.09
20090310,5.06,9.34,8.1,8.71,7.91,7.26,7.93,7.75,7.5,7.64,6.35
20090311,0.4,-0.81,-0.07,0.72,1.34,0.92,1.26,0.71,0.46,0.53,0.3
20090312,4.87,9.85,7.61,6.74,5.63,5.28,4.68,4.88,4.76,4.37,4.16
20090313,1.14,0.89,1.23,1.58,1.23,0.87,1.26,1.07,0.84,0.78,0.73
20090316,1.02,-0.71,-0.93,-1.07,-0.9,-0.6,-0.55,-0.7,-0.18,0.69,-0.55
20090317,2.73,5.7,5.13,3.97,4.18,3.69,3.34,3.17,3.67,3.26,3.2
20090318,3.98,4.85,3.72,4.03,7.94,3.31,3.58,3.27,3.97,2.96,2.18
20090319,2.47,-0.42,-0.2,-0.08,0.04,0.23,0.55,-0.28,0.3,-0.75,-1.03
20090320,0.63,-2.92,-3.41,-2.64,-3.85,-2.96,-3.08,-2.63,-3.15,-2.32,-1.95
20090323,4.89,10.45,9.54,8.66,8.91,7.49,7.99,8.04,8.27,7.96,6.89
20090324,-0.33,-5.1,-3.65,-3.22,-2.56,-2.13,-1.98,-1.86,-1.92,-1.79,-1.93
20090325,2.13,3.63,3.32,2.86,2.18,1.72,1.73,1.01,0.34,0.6,0.94
20090326,3.79,5.51,5.7,4.88,5.33,4.76,4.42,3.75,3.34,2.54,2.68
20090327,-1.23,-4.8,-3.65,-3.4,-2.6,-2.58,-2.83,-2.13,-2.53,-2.11,-2.06
20090330,-1.79,-3.78,-4.22,-3.78,-4.4,-4.13,-4.53,-4.63,-4.78,-4.47,-3.47
20090331,2.44,1.91,1.56,1.08,1.59,1.53,1.48,1.37,1.37,1.56,1.29
20090401,0.97,2.55,2.52,2.08,2.11,1.89,2.39,2.16,1.95,1.77,1.65
20090402,2.74,6.41,6.41,5.81,5.88,4.69,5.1,4.6,5.08,3.55,3.07
20090403,0.91,1.26,1.65,1.49,2.02,1.84,1.66,1.64,2.36,1.47,1.02
20090406,0.32,-2.1,-2.17,-1.99,-1.37,-1.43,-1.52,-0.95,-1.13,-0.93,-0.92
20090407,-0.87,-3.66,-3.74,-3.91,-3.26,-3.09,-3.02,-3.14,-2.76,-2.6,-2.42
20090408,1.55,3.68,2.64,2.51,2.06,1.94,1.78,1.76,2.64,1.42,1.28
20090409,3.75,6.59,7.08,6.94,6.63,6.06,5.91,5.95,5.57,4.4,3.91
20090413,0.76,0.41,0.79,0.27,0.27,0.69,0.24,0.01,0.39,0.96,0.26
20090414,-0.22,-3.38,-2.93,-2.65,-2.26,-2.09,-1.7,-2.13,-1.7,-1.92,-2.02
20090415,1.03,2.95,1.99,1.69,1.55,1.28,1.13,1.14,1.3,1.35,1.12
20090416,1.43,3.46,3.4,3.03,3.63,2.28,3.15,2.9,2.42,1.32,1.69
