date,vix,spret
1/3/11,17.14,0.000
1/10/11,15.46,1.695
1/17/11,18.47,-0.768
1/24/11,20.04,-0.548
1/31/11,15.93,2.669
2/7/11,15.69,1.385
2/14/11,16.43,1.037
2/21/11,19.22,-1.737
2/28/11,19.06,0.096
3/7/11,20.08,-1.285
3/14/11,24.44,-1.941
3/21/11,17.91,2.668
3/28/11,17.40,1.407
4/4/11,17.87,-0.319
4/11/11,15.32,-0.641
4/18/11,14.69,1.332
4/25/11,14.75,1.942
5/2/11,18.40,-1.732
5/9/11,17.07,-0.181
5/16/11,17.43,-0.337
5/23/11,15.98,-0.163
5/30/11,17.95,-2.352
6/6/11,18.86,-2.270
6/13/11,21.85,0.041
6/20/11,21.10,-0.240
6/27/11,15.87,5.463
7/4/11,15.95,0.308
7/11/11,19.53,-2.080
7/18/11,17.52,2.171
7/25/11,25.25,-4.000
8/1/11,32.00,-7.460
8/8/11,36.36,-1.730
8/15/11,43.05,-4.803
8/22/11,35.59,4.632
8/29/11,33.92,-0.241
9/5/11,38.52,-1.696
9/12/11,30.98,5.214
9/19/11,41.25,-6.768
9/26/11,42.96,-0.442
10/3/11,36.20,2.102
10/10/11,28.24,5.810
10/17/11,31.32,1.110
10/24/11,24.53,3.713
10/31/11,30.16,-2.510
11/7/11,30.04,0.844
11/14/11,32.00,-3.888
11/21/11,34.47,-4.801
11/28/11,27.52,7.128
12/5/11,26.38,0.873
12/12/11,24.29,-2.871
12/19/11,20.73,3.676
12/26/11,23.40,-0.613
1/2/12,20.63,1.594
1/9/12,20.91,0.879
1/16/12,18.28,2.019
1/23/12,18.53,0.072
1/30/12,17.10,2.147
2/6/12,20.79,-0.168
2/13/12,17.78,1.375
2/20/12,17.31,0.331
2/27/12,17.29,0.284
3/5/12,17.11,0.090
3/12/12,14.47,2.400
3/19/12,14.82,-0.504
3/26/12,15.50,0.810
4/2/12,16.70,-0.740
4/9/12,19.55,-2.010
4/16/12,17.44,0.602
4/23/12,16.32,1.785
4/30/12,19.16,-2.472
5/7/12,19.89,-1.154
5/14/12,25.10,-4.393
5/21/12,21.76,1.730
5/28/12,26.66,-3.065
6/4/12,21.23,3.658
6/11/12,21.11,1.288
6/18/12,18.11,-0.584
6/25/12,17.08,2.013
7/2/12,17.10,-0.551
7/9/12,16.74,0.155
7/16/12,16.27,0.432
7/23/12,16.70,1.696
7/30/12,15.64,0.362
8/6/12,14.74,1.064
8/13/12,13.45,0.870
8/20/12,15.18,-0.497
8/27/12,17.47,-0.323
9/3/12,14.38,2.204
9/10/12,14.51,1.918
9/17/12,13.98,-0.384
9/24/12,15.73,-1.343
10/1/12,14.33,1.396
10/8/12,16.14,-2.239
10/15/12,17.06,0.321
10/22/12,17.81,-1.494
10/29/12,17.59,0.160
11/5/12,18.61,-2.459
11/12/12,16.41,-1.458
11/19/12,15.14,3.559
11/26/12,15.87,0.498
12/3/12,15.90,0.133
12/10/12,17.00,-0.317
12/17/12,17.84,1.165
12/24/12,22.72,-1.957
12/31/12,13.83,4.465
1/7/13,13.36,0.380
1/14/13,12.46,0.942
1/21/13,12.89,1.136
1/28/13,12.90,0.677
2/4/13,13.02,0.314
2/11/13,12.46,0.122
2/18/13,14.17,-0.276
2/25/13,15.36,0.171
3/4/13,12.59,2.149
3/11/13,11.30,0.612
3/18/13,13.57,-0.244
