,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,Rm-Rf,SMB,HML,RF
19260701,0.57,-0.13,0.68,-0.06,-0.38,-0.07,-0.08,-0.06,0.08,0.18,0.1,-0.24,-0.28,0.009
19260702,-0.53,-0.4,0.16,0.1,0.29,0.36,0.51,0.41,0.37,0.52,0.45,-0.32,-0.08,0.009
19260706,-0.33,0.61,-0.38,0.23,0.68,0.33,0.15,0.33,0.11,0.16,0.17,0.27,-0.35,0.009
19260707,0.28,-0.1,-0.4,-0.54,0.31,0.17,0.19,0.16,-0.04,0.13,0.09,-0.59,0.03,0.009
19260708,0.55,-0.9,0.04,0.23,-0.06,0.28,0.17,0.2,0.2,0.27,0.21,-0.36,0.15,0.009
19260709,-0.57,0.77,-0.04,0.09,-0.66,-0.07,-0.54,-0.87,-0.64,-0.78,-0.71,0.44,0.56,0.009
19260710,0.73,0.05,0.24,0.35,-0.1,0.72,0.42,0.51,0.78,0.65,0.62,-0.5,-0.15,0.009
19260712,0.38,0.26,0.03,0.53,-0.05,0.04,0.12,-0.15,0.13,0.04,0.04,0.03,0.54,0.009
19260713,1.06,0.01,0.16,0.14,0.17,0.69,0.42,0.48,0.23,0.58,0.48,-0.26,-0.23,0.009
19260714,-1.19,0.07,-0.28,0.05,0.37,-0.33,0.44,-0.01,0.15,0.01,0.04,0.09,-0.48,0.009
19260715,1.46,-0.15,0.35,-0.34,-0.22,-0.32,-0.51,-0.58,-0.51,-0.4,-0.43,0.54,-0.3,0.009
19260716,0.03,0.98,-0.11,0.69,0.62,0.59,0.35,0.56,0.75,0.48,0.53,0.01,-0.57,0.009
19260717,-0.2,0.31,0.48,0.55,0.93,-0.09,0.17,0.29,0.32,0.37,0.34,0.43,-0.63,0.009
19260719,0.45,-0.29,-0.33,0.32,-0.13,-0.19,-0.38,0.37,0.18,-0.04,-0.01,0.01,-0.49,0.009
19260720,-1.37,-0.7,-0.78,-0.72,-0.82,-0.46,-0.83,0.68,-0.79,-0.62,-0.57,-0.23,0.16,0.009
19260721,-0.26,-1.19,-0.21,-0.58,-0.1,-0.41,-0.12,-1.88,-0.62,-0.42,-0.6,0.21,0.31,0.009
19260722,-1.45,-1.37,-1.17,-0.62,-1.18,-0.36,-0.63,-1.04,-0.85,-0.64,-0.73,-0.3,-0.17,0.009
19260723,0.41,-0.07,0.04,0,0.03,-0.01,-0.05,0.07,0.17,-0.07,-0.02,0.08,0.06,0.009
19260724,0.63,0.94,0.32,0.33,0.09,0.18,-0.14,-0.15,-0.19,-0.18,-0.14,0.44,-0.06,0.009
19260726,-0.97,0.48,-0.76,0.19,0.36,0.15,0.4,0.18,0.38,0.68,0.53,-0.38,-0.25,0.009
19260727,0.38,0.48,0.34,0.01,0.2,0.33,0.23,0.63,0.6,0.42,0.43,-0.45,0.26,0.009
19260728,0.7,1.19,1.08,0.92,1.06,0.19,1.32,0.86,1.37,1.09,1.09,0.04,-0.28,0.009
19260729,-0.81,-0.87,-0.04,-0.37,-0.39,0.09,-0.05,-0.05,0.24,0.58,0.36,-0.61,-1.01,0.009
19260730,-0.39,-0.11,0.42,-0.31,-0.11,0.03,-0.36,-0.02,0.33,0.24,0.14,-0.47,0.55,0.009
19260731,-0.1,0.76,0.08,0.23,0.32,0.21,0.38,0.43,0.77,0.42,0.46,-0.12,-0.17,0.009
19260802,1.88,-0.04,0.38,0.78,0.71,0.63,0.82,0.25,0.74,1.01,0.84,-0.22,-0.03,0.01
19260803,-0.62,0.05,1.9,0.61,0.39,0.65,0.65,0.39,-0.04,0.64,0.47,-0.27,-0.6,0.01
19260804,0.24,0.26,-0.16,-0.5,-0.17,0.37,0.11,-0.42,-0.18,-0.48,-0.36,0.16,0.25,0.01
19260805,0.17,0.44,-0.09,0.18,0.15,0.53,0.29,-0.23,-0.17,-0.12,-0.09,0.01,0.73,0.01
19260806,0.07,2.04,0.72,1.06,0.96,0.49,0.72,0.48,0.76,0.68,0.68,0.08,0.16,0.01
19260807,0.56,-0.52,0.87,0.65,0.39,0.17,0.08,0.25,0.34,0.59,0.46,0.08,-0.24,0.01
19260809,-0.43,0.51,-0.04,0.26,0,0.27,1.08,0.37,0,0.19,0.21,-0.04,-0.26,0.01
19260810,-2.38,-0.43,-0.46,-1.5,-1.4,-0.92,-1.39,-1.01,-1.12,-1.58,-1.4,0.34,0.21,0.01
19260811,2.36,-0.3,-0.22,-0.48,-0.47,0.16,-0.69,-0.44,-0.75,-0.56,-0.57,0.21,0.34,0.01
19260812,-0.63,0.28,0.23,0.65,0.31,0.5,0.21,0.54,0.89,1.01,0.84,-0.77,0.42,0.01
