,smbm1,smbm2,smbm3,bigbm1,bigbm2,bigbm3,Mkt-RF,SMB,HML,RF
19260702,0.86,0.98,0.68,2.25,1.36,0.63,1.6,-0.57,-0.9,0.056
19260710,-0.59,0.25,-0.13,0.92,0.19,0.99,0.36,-0.86,0.27,0.056
19260717,2.01,1.12,0.97,1.98,0.3,-0.66,1.01,0.83,-1.84,0.056
19260724,-1.37,-2.01,-2.26,-2.37,-1.71,-1.99,-2.05,0.15,-0.25,0.056
19260731,1.3,2.08,1.16,4.49,2.68,2.93,3.04,-1.86,-0.85,0.056
19260807,1.76,1.95,3.37,2.97,1.46,2.43,2.01,0.08,0.53,0.063
19260814,-1.43,0.32,0.46,0.64,0.41,0.29,0.33,-0.66,0.76,0.063
19260821,-0.7,-1.2,0.76,-1.77,-0.83,0.67,-1.11,0.26,1.95,0.063
19260828,0.88,0.24,1.44,0.49,0.24,1.61,0.53,0.07,0.84,0.063
19260903,1.64,0.91,1.9,1.16,2.52,2.01,1.87,-0.41,0.55,0.057
19260911,-1.9,-1,-0.96,-0.98,-1.42,-1.94,-1.27,0.16,-0.01,0.057
19260918,-1.71,-0.57,-0.28,0.82,-0.11,0.02,0.16,-1.1,0.32,0.057
19260925,-0.39,0.12,-0.52,0.77,0.72,0.12,0.62,-0.8,-0.39,0.057
19261002,0.27,1.27,0.05,1.26,0.04,0.52,0.48,-0.08,-0.48,0.08
19261009,-4.53,-4.32,-4.87,-4.34,-3.74,-4.7,-4.14,-0.31,-0.35,0.08
19261016,-2.59,-3.28,-1.72,-2.23,-0.99,-1.07,-1.62,-1.1,1.02,0.08
19261023,1.75,0.96,1.91,1.22,1.15,0.35,1.05,0.63,-0.35,0.08
19261030,1.58,1.44,2.22,0.7,0.77,1.14,0.83,0.87,0.54,0.08
19261106,1.5,1.08,0.77,1.38,1.77,2.85,1.47,-0.88,0.37,0.077
19261113,1.79,0.96,0.49,0.86,0.74,0.25,0.71,0.46,-0.96,0.077
19261120,-1.06,0.47,0.71,-0.4,-0.85,-0.66,-0.56,0.67,0.76,0.077
19261127,1.08,1.47,0.92,1.51,1.09,1.4,1.03,-0.17,-0.13,0.077
19261204,1.62,0.69,0.54,1.21,0.86,0.72,0.9,0.02,-0.79,0.069
19261211,2.91,0.79,1.08,0.53,0.82,2.01,0.81,0.47,-0.18,0.069
19261218,-0.78,0.51,1.6,1.54,1.73,1.05,1.38,-0.99,0.94,0.069
19261224,-0.24,0.18,-0.46,0.95,-0.07,-0.63,0.25,-0.25,-0.9,0.069
19261231,-0.77,-0.6,-0.65,-1.45,-0.6,-1.09,-0.89,0.37,0.24,0.069
19270108,2.22,0.51,0.81,0.15,0.13,1.5,0.17,0.59,-0.03,0.062
19270115,-1.7,0.06,0.52,-0.71,0.49,2.14,0.06,-1.02,2.53,0.062
19270122,-0.36,-0.93,2.45,0.08,-0.13,0.74,-0.04,0.16,1.74,0.062
19270129,-2,-0.63,-0.31,-0.54,-0.85,-1.19,-0.83,-0.12,0.52,0.062
19270205,1.76,2.15,5.88,1.43,1.49,3.03,1.66,1.28,2.86,0.064
19270211,0.25,1.58,-0.25,0.66,0.45,0.74,0.39,-0.09,-0.21,0.064
19270219,0.95,0.92,1.82,0.84,1.24,3.29,1.15,-0.56,1.66,0.064
19270226,2.02,1.49,0.28,1.82,0.49,0.44,0.96,0.34,-1.56,0.064
19270305,-0.48,-0.96,-1.42,-0.09,-0.99,-2.23,-0.68,0.15,-1.54,0.074
19270312,0.17,1.08,0.43,1.51,0.51,1.25,0.83,-0.54,0,0.074
19270319,-0.48,-0.96,-2.82,0.51,0.16,-1.94,0.05,-1,-2.39,0.074
19270326,0.37,0.49,0.35,0.08,0.7,-0.07,0.47,0.17,-0.09,0.074
19270402,-1.35,0.75,-0.28,0.39,-0.22,1.65,-0.17,-0.89,1.17,0.064
19270409,0.53,-0.06,4.07,2.32,1.34,2.62,1.83,-0.58,1.92,0.064
19270416,2.64,1.88,0.62,0.69,0.05,-0.74,0.36,1.71,-1.73,0.064
19270423,-2.02,0.45,1.18,1.61,-0.14,0.83,0.47,-0.9,1.21,0.064
19270430,-2.39,-1.45,-1.86,-1.7,-1.85,-3.87,-2.01,0.58,-0.82,0.064
19270507,4.07,2.39,3.89,2.96,2.48,3.15,2.69,0.59,0.01,0.075
19270514,-0.42,-0.85,1.23,0.23,0.58,-0.14,0.4,-0.24,0.64,0.075
