,smbm1,smbm2,smbm3,bigbm1,bigbm2,bigbm3,Mkt-RF,SMB,HML,RF
19810102,1.22,1.28,1.22,0.64,-0.52,0.01,-0.03,1.2,-0.31,0.258
19810109,-4.53,-0.92,0.03,-3.02,-2.48,-0.09,-2.68,0.06,3.74,0.258
19810116,2.01,1.76,1.49,0.93,1.53,0.64,0.95,0.72,-0.4,0.258
19810123,-2.14,-1.32,-1.23,-3.23,-4.06,-2.2,-3.37,1.6,0.97,0.258
19810130,0.17,0.41,0.86,-0.99,-0.7,1.85,-0.54,0.43,1.76,0.258
19810206,-0.18,0.98,1.29,0.94,1.51,0.6,0.74,-0.32,0.56,0.266
19810213,-2.89,-0.58,-0.41,-2.73,-2.75,-2.03,-2.79,1.21,1.59,0.266
19810220,-1.39,-0.6,-0.95,-0.36,-0.81,0.16,-0.84,-0.65,0.48,0.266
19810227,3.83,2.53,2.85,5.14,3.44,2.66,3.59,-0.68,-1.73,0.266
19810306,1.16,1.19,1.28,-1.29,-0.65,-0.03,-0.81,1.87,0.69,0.301
19810313,1.49,2.23,1.45,2.42,2.79,3.13,2.17,-1.06,0.33,0.301
19810320,2.07,2.5,3.58,0.75,0.39,1.95,0.89,1.69,1.36,0.301
19810327,1.78,1.14,0.41,1.14,0.54,-0.64,0.45,0.77,-1.58,0.301
19810403,1.87,2.44,1.69,0.4,0.77,1.04,0.66,1.26,0.24,0.268
19810410,0.9,1.3,1.63,0.01,-1.67,1.11,-0.44,1.46,0.91,0.268
19810416,1.09,0.76,0.95,-0.09,-0.29,0.57,-0.23,0.87,0.26,0.268
19810424,1.3,1.72,1.6,0.34,0.15,0.55,0.18,1.19,0.25,0.268
19810501,-1.88,-1.83,-1.55,-1.93,-0.79,-2.03,-1.87,-0.17,0.11,0.287
19810508,-0.35,-1.48,-1.5,-0.66,-0.12,-0.61,-0.77,-0.65,-0.55,0.287
19810515,1.05,1.16,0.86,0.09,-0.03,2.7,0.35,0.11,1.21,0.287
19810522,1.85,0.96,0.66,0.09,-0.5,-0.11,-0.18,1.33,-0.69,0.287
19810529,2.67,2.05,1.95,1.12,0.24,1.84,0.84,1.15,0,0.287
19810605,-1.68,0.36,0.41,-0.71,0.74,-0.92,-0.76,0,0.95,0.335
19810612,0.38,1.88,1.81,0.41,1.41,2.58,0.82,-0.11,1.8,0.335
19810619,-2.46,-0.45,-0.08,-1.95,0.12,-0.15,-1.3,-0.34,2.08,0.335
19810626,-0.16,0.39,0.32,0.43,0.45,-0.15,0.01,-0.06,-0.05,0.335
19810702,-3.74,-2.71,-1.98,-3.17,-2.63,-3.33,-3.3,0.23,0.8,0.309
19810710,-1.43,-0.65,-0.66,0.79,0.46,0.04,0.01,-1.35,0.01,0.309
19810717,1.04,0.64,0.53,1.67,0.77,0.36,0.79,-0.2,-0.91,0.309
19810724,-2.4,-2.54,-1.77,-1.55,-1.83,-1.58,-2.09,-0.59,0.3,0.309
19810731,2.12,1.47,1.31,2.42,1.84,2,1.58,-0.45,-0.62,0.309
19810807,-0.07,0.54,0.01,1.44,0.98,0.95,0.76,-0.96,-0.21,0.319
